occupation_code,occupation_code_name,main_staff_group,broad_staff_group,detailed_staff_group,occupation_level,care_setting_or_specialty,is_currently_valid
UAM,Consultant Clinical Scientist in Environmental Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Clinical Scientist,Environmental Sciences,True
UBE,"Consultant Healthcare Science Practitioner in Cardiac, Vascular, Respiratory & Sleep Sciences",Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,"Cardiac, Vascular, Respiratory & Sleep Sciences",True
UBF,Consultant Healthcare Science Practitioner in Neurosensory Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Neurosensory Sciences,True
UBG,Consultant Healthcare Science Practitioner in Gastrointestinal & Urodynamic Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Gastrointestinal & Urodynamic Sciences,True
UBH,Consultant Healthcare Science Practitioner in Medical Physics,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Medical Physics,True
UBJ,Consultant Healthcare Science Practitioner in Clinical Engineering,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Clinical Engineering,True
UBK,Consultant Healthcare Science Practitioner in Clinical Bioinformatics,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Clinical Bioinformatics,True
UBL,Consultant Healthcare Science Practitioner in Social Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Social Sciences,True
UBM,Consultant Healthcare Science Practitioner in Environmental Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Healthcare Science Practitioner,Environmental Sciences,True
UCA,Consultant Biomedical Scientist in Blood Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Biomedical Scientist,Blood Sciences,True
UCB,Consultant Biomedical Scientist in Infection Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Biomedical Scientist,Infection Sciences,True
UCC,Consultant Biomedical Scientist in Cellular Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Biomedical Scientist,Cellular Sciences,True
UCD,Consultant Biomedical Scientist in Genetics,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Consultant Biomedical Scientist,Genetics,True
UDA,Specialist Biomedical Scientist in Blood Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Specialist Biomedical Scientist,Blood Sciences,True
UDB,Specialist Biomedical Scientist in Infection Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Specialist Biomedical Scientist,Infection Sciences,True
UDC,Specialist Biomedical Scientist in Cellular Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Specialist Biomedical Scientist,Cellular Sciences,True
UDD,Specialist Biomedical Scientist in Genetics,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Specialist Biomedical Scientist,Genetics,True
UEA,Biomedical Scientist in Blood Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Biomedical Scientist,Blood Sciences,True
UEB,Biomedical Scientist in Infection Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Biomedical Scientist,Infection Sciences,True
UEC,Biomedical Scientist in Cellular Sciences,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Biomedical Scientist,Cellular Sciences,True
UED,Biomedical Scientist in Genetics,Professionally qualified clinical staff,"Scientific, therapeutic & technical staff",Healthcare scientists,Biomedical Scientist,Genetics,True
UFA,Trainee Biomedical Scientist in Blood Sciences,Support to clinical staff,Support to ST&T staff,Support to healthcare scientists,Trainee Biomedical Scientist,Blood Sciences,True
UFB,Trainee Biomedical Scientist in Infection Sciences,Support to clinical staff,Support to ST&T staff,Support to healthcare scientists,Trainee Biomedical Scientist,Infection Sciences,True
UFC,Trainee Biomedical Scientist in Cellular Sciences,Support to clinical staff,Support to ST&T staff,Support to healthcare scientists,Trainee Biomedical Scientist,Cellular Sciences,True
UFD,Trainee Biomedical Scientist in Genetics,Support to clinical staff,Support to ST&T staff,Support to healthcare scientists,Trainee Biomedical Scientist,Genetics,True
Z1A,Non-funded staff - Macmillan nurses,Unknown classification,Non-funded staff,Non-funded staff - nurses,Non-funded staff - Macmillan nurses,Non-funded staff - Macmillan nurses,True
Z1B,Non-funded staff - Marie Curie nurses,Unknown classification,Non-funded staff,Non-funded staff - nurses,Non-funded staff - Marie Curie nurses,Non-funded staff - Marie Curie nurses,True
Z1C,Non-funded staff - Other nurses,Unknown classification,Non-funded staff,Non-funded staff - nurses,Non-funded staff - Other nurses,Non-funded staff - Other nurses,True
Z1D,Non-funded staff - ST&T,Unknown classification,Non-funded staff,Non-funded staff - ST&T,Non-funded staff - ST&T,Non-funded staff - ST&T,True
Z1E,Non-funded staff - Admin & non-patient care support,Unknown classification,Non-funded staff,Non-funded staff - admin & non-patient care,Non-funded staff - Admin & non-patient care support,Non-funded staff - Admin & non-patient care support,True
Z2E,General payments - Admin & non-patient care support,Unknown classification,General payments,General payments - admin & non-patient care,General payments - Admin & non-patient care support,General payments - Admin & non-patient care support,True
Z2F,General payments - Other,Unknown classification,General payments,General payments - other,General payments - Other,General payments - Other,True
