snomed_code,snomed_term,status,category
11048011000119103,Cannabis hyperemesis syndrome co-occurrent and due to cannabis dependence (disorder),QUALIFYING,Current misuse or dependence
39807006,Cannabis intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
428823006,Cannabis misuse (finding),QUALIFYING,Current misuse or dependence
296301000,Cannabis overdose (disorder),QUALIFYING,Current misuse or dependence
296304008,Cannabis overdose of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
268641003,Cannabis type drug dependence (disorder),QUALIFYING,Current misuse or dependence
51441000087107,Cannabis-filled electronic cigarette user (finding),QUALIFYING,Current misuse or dependence
39951001,Cannabis-induced anxiety disorder (disorder),QUALIFYING,Current misuse or dependence
26714005,Cannabis-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
817962007,Chlordiazepoxide dependence (disorder),QUALIFYING,Current misuse or dependence
228401002,Cleaning of drug injection equipment (observable entity),QUALIFYING,Current misuse or dependence
228402009,Cleans drug injection equipment (finding),QUALIFYING,Current misuse or dependence
715818002,Cleans drug injection needle with bleach (finding),QUALIFYING,Current misuse or dependence
373613000,Cleans own needles (finding),QUALIFYING,Current misuse or dependence
718617006,Clinical Institute Withdrawal Assessment for Benzodiazepines scale score (observable entity),QUALIFYING,Current misuse or dependence
763699005,Clinical Opiate Withdrawal Scale score (observable entity),QUALIFYING,Current misuse or dependence
30491001,Cocaine delusional disorder (disorder),QUALIFYING,Current misuse or dependence
31956009,Cocaine dependence (disorder),QUALIFYING,Current misuse or dependence
724688003,Cocaine dependence with current use (disorder),QUALIFYING,Current misuse or dependence
191831000,"Cocaine dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191832007,"Cocaine dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
27956007,Cocaine intoxication (disorder),QUALIFYING,Current misuse or dependence
70328006,Cocaine intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
429782000,Cocaine misuse (finding),QUALIFYING,Current misuse or dependence
191829009,Cocaine type drug dependence (disorder),QUALIFYING,Current misuse or dependence
80868005,Cocaine withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
10327003,Cocaine-induced mood disorder (disorder),QUALIFYING,Current misuse or dependence
6348008,Cocaine-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
22574000,Cocaine-induced sleep disorder (disorder),QUALIFYING,Current misuse or dependence
429299000,"Combined drug dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191873008,"Combined drug dependence, excluding opioid, continuous (disorder)",QUALIFYING,Current misuse or dependence
191874002,"Combined drug dependence, excluding opioid, episodic (disorder)",QUALIFYING,Current misuse or dependence
191871005,"Combined drug dependence, excluding opioids (disorder)",QUALIFYING,Current misuse or dependence
191865004,Combined opioid with non-opioid drug dependence (disorder),QUALIFYING,Current misuse or dependence
191867007,"Combined opioid with non-opioid drug dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191868002,"Combined opioid with non-opioid drug dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
1255013006,Combined opioid with non-opioid substance dependence (disorder),QUALIFYING,Current misuse or dependence
1255018002,"Combined opioid with non-opioid substance dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
1255015004,"Combined opioid with non-opioid substance dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
1255012001,"Combined substance dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
1255017007,"Combined substance dependence, excluding opioid, continuous (disorder)",QUALIFYING,Current misuse or dependence
1255016003,"Combined substance dependence, excluding opioid, episodic (disorder)",QUALIFYING,Current misuse or dependence
1255014000,"Combined substance dependence, excluding opioids (disorder)",QUALIFYING,Current misuse or dependence
413295004,Concerned about own drug use (finding),QUALIFYING,Current misuse or dependence
1230085000,Continuous nondependent harmful pattern of use of amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
191918009,Continuous nondependent harmful pattern of use of cocaine (disorder),QUALIFYING,Current misuse or dependence
1230084001,Continuous nondependent harmful pattern of use of psychostimulant (disorder),QUALIFYING,Current misuse or dependence
191819002,Continuous opioid dependence (disorder),QUALIFYING,Current misuse or dependence
416262000,Continuous use of drugs (observable entity),QUALIFYING,Current misuse or dependence
231481003,Controlled drug dependence (disorder),QUALIFYING,Current misuse or dependence
428493006,Crack cocaine misuse (finding),QUALIFYING,Current misuse or dependence
228438002,Craves for drugs (finding),QUALIFYING,Current misuse or dependence
417284009,Current drug user (finding),QUALIFYING,Current misuse or dependence
248021000000105,Current non recreational drug user (finding),QUALIFYING,Current misuse or dependence
1254782007,Dabbing (event),QUALIFYING,Current misuse or dependence
228441006,Dealing with drugs (finding),QUALIFYING,Current misuse or dependence
860699005,Deep vein thrombosis of lower extremity due to intravenous drug use (disorder),QUALIFYING,Current misuse or dependence
8837000,Delirium caused by amphetamine (disorder),QUALIFYING,Current misuse or dependence
724717007,Delirium caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
724716003,Delirium caused by ketamine (disorder),QUALIFYING,Current misuse or dependence
39003006,Delirium caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
762324008,Delirium caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
737339005,Delirium caused by synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762506007,Delirium caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
16236661000119100,Delirium due to methamphetamine intoxication (disorder),QUALIFYING,Current misuse or dependence
50722006,Delusional disorder caused by phencyclidine (disorder),QUALIFYING,Current misuse or dependence
724714000,Dependence caused by dissociative substance (disorder),QUALIFYING,Current misuse or dependence
231477003,Dependence on diamorphine (disorder),QUALIFYING,Current misuse or dependence
441681009,Dependence on unknown drug (disorder),QUALIFYING,Current misuse or dependence
16238181000119101,Depressive disorder caused by amphetamine (disorder),QUALIFYING,Current misuse or dependence
16238221000119109,Depressive disorder caused by methamphetamine (disorder),QUALIFYING,Current misuse or dependence
363908000,Details of drug misuse behavior (observable entity),QUALIFYING,Current misuse or dependence
440664005,Details of drug use behavior during pregnancy (observable entity),QUALIFYING,Current misuse or dependence
231474005,Diazepam dependence (disorder),QUALIFYING,Current misuse or dependence
737226008,Disorder caused by cannabis (disorder),QUALIFYING,Current misuse or dependence
1187220002,Disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
788904003,Disorder caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
1187219008,Disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
737334000,Disorder caused by synthetic cannabinoid use (disorder),QUALIFYING,Current misuse or dependence
762503004,Disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
439374006,Drug abuse cessation behavior (observable entity),QUALIFYING,Current misuse or dependence
228373001,Drug addict (finding),QUALIFYING,Current misuse or dependence
191816009,Drug dependence (disorder),QUALIFYING,Current misuse or dependence
199252002,Drug dependence during pregnancy - baby delivered (disorder),QUALIFYING,Current misuse or dependence
199254001,Drug dependence during pregnancy - baby not yet delivered (disorder),QUALIFYING,Current misuse or dependence
267206008,"Drug dependence during pregnancy, childbirth and the puerperium (disorder)",QUALIFYING,Current misuse or dependence
10755161000119102,Drug dependence in childbirth (disorder),QUALIFYING,Current misuse or dependence
199253007,Drug dependence in the puerperium - baby delivered (disorder),QUALIFYING,Current misuse or dependence
199255000,Drug dependence in the puerperium - baby delivered during previous episode of care (disorder),QUALIFYING,Current misuse or dependence
153491000119103,"Drug dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
153501000119105,"Drug dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
228419006,Drug habit takes priority over family obligations (finding),QUALIFYING,Current misuse or dependence
228420000,Drug habit takes priority over financial obligations (finding),QUALIFYING,Current misuse or dependence
228418003,Drug habit takes priority over social obligations (finding),QUALIFYING,Current misuse or dependence
228394003,Drug injecting equipment hygiene (observable entity),QUALIFYING,Current misuse or dependence
228391006,Drug injection behavior (observable entity),QUALIFYING,Current misuse or dependence
240951000000103,Drug misuse reported by other (finding),QUALIFYING,Current misuse or dependence
441668002,Drug seeking behavior (finding),QUALIFYING,Current misuse or dependence
228440007,Drug-related offending behavior (finding),QUALIFYING,Current misuse or dependence
228429004,Drug-related rituals (observable entity),QUALIFYING,Current misuse or dependence
417360004,Duplicative flashbacks (disorder),QUALIFYING,Current misuse or dependence
202961000000106,Ecstasy misuse (finding),QUALIFYING,Current misuse or dependence
191877009,Ecstasy type drug dependence (disorder),QUALIFYING,Current misuse or dependence
405069002,Effect of substance addiction (observable entity),QUALIFYING,Current misuse or dependence
1230071005,Episodic harmful pattern of use of amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
204641000000107,Episodic nondependent crack cocaine abuse (disorder),QUALIFYING,Current misuse or dependence
1230087008,Episodic nondependent harmful pattern of use of amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
191919001,Episodic nondependent harmful pattern of use of cocaine (disorder),QUALIFYING,Current misuse or dependence
1230086004,Episodic nondependent harmful pattern of use of psychostimulant (disorder),QUALIFYING,Current misuse or dependence
191820008,Episodic opioid dependence (disorder),QUALIFYING,Current misuse or dependence
16076691000119100,Episodic polysubstance dependence (disorder),QUALIFYING,Current misuse or dependence
417252002,Episodic use of drugs (observable entity),QUALIFYING,Current misuse or dependence
417531009,Excessive craving for drugs (finding),QUALIFYING,Current misuse or dependence
426001001,Fentanyl dependence (disorder),QUALIFYING,Current misuse or dependence
228430009,Follows drug-related rituals (finding),QUALIFYING,Current misuse or dependence
228428007,Follows same drug-related routine every day (finding),QUALIFYING,Current misuse or dependence
228390007,Frequency of drug misuse (observable entity),QUALIFYING,Current misuse or dependence
228398000,Frontloading (finding),QUALIFYING,Current misuse or dependence
191853003,Glue sniffing dependence (disorder),QUALIFYING,Current misuse or dependence
191855005,"Glue sniffing dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191856006,"Glue sniffing dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
228389003,Groin injector (finding),QUALIFYING,Current misuse or dependence
361049005,Habitual drug user (finding),QUALIFYING,Current misuse or dependence
50933003,Hallucinogen delusional disorder (disorder),QUALIFYING,Current misuse or dependence
38247002,Hallucinogen dependence (disorder),QUALIFYING,Current misuse or dependence
724695007,Hallucinogen dependence with current use (disorder),QUALIFYING,Current misuse or dependence
