snomed_code,snomed_term,status,category
762343008,Mood disorder with mixed depressive and manic symptoms caused by ecstasy type drug (disorder),QUALIFYING,Current misuse or dependence
762337006,Mood disorder with mixed depressive and manic symptoms caused by hallucinogen (disorder),QUALIFYING,Current misuse or dependence
762322007,Mood disorder with mixed depressive and manic symptoms caused by opioid (disorder),QUALIFYING,Current misuse or dependence
762330008,Mood disorder with mixed depressive and manic symptoms caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762514001,Mood disorder with mixed depressive and manic symptoms caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
762340006,Mood disorder with mixed depressive and manic symptoms caused by volatile inhalant (disorder),QUALIFYING,Current misuse or dependence
231479000,Morphine dependence (disorder),QUALIFYING,Current misuse or dependence
1237201004,Naloxone dependence (disorder),QUALIFYING,Current misuse or dependence
70545002,Narcotic drug user (finding),QUALIFYING,Current misuse or dependence
230443000,Narcotic withdrawal epilepsy (disorder),QUALIFYING,Current misuse or dependence
248601000000106,Neck injector (finding),QUALIFYING,Current misuse or dependence
413096007,Never injecting drug user (finding),QUALIFYING,Current misuse or dependence
1104931000000109,Nitrous oxide misuse (finding),QUALIFYING,Current misuse or dependence
1268384001,Nitrous oxide user (finding),QUALIFYING,Current misuse or dependence
191924003,"Nondependent amphetamine or psychostimulant abuse, continuous (disorder)",QUALIFYING,Current misuse or dependence
191925002,"Nondependent amphetamine or psychostimulant abuse, episodic (disorder)",QUALIFYING,Current misuse or dependence
1230088003,Nondependent harmful pattern of use of amfetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
191916008,Nondependent harmful pattern of use of cocaine (disorder),QUALIFYING,Current misuse or dependence
1230089006,Nondependent harmful pattern of use of psychostimulant (disorder),QUALIFYING,Current misuse or dependence
268647004,Nondependent hypnotic or anxiolytic abuse (disorder),QUALIFYING,Current misuse or dependence
191905001,"Nondependent hypnotic or anxiolytic abuse, continuous (disorder)",QUALIFYING,Current misuse or dependence
191906000,"Nondependent hypnotic or anxiolytic abuse, episodic (disorder)",QUALIFYING,Current misuse or dependence
279491000000105,Not using heroin on top of substitution therapy (finding),QUALIFYING,Current misuse or dependence
228374007,Notified addict (finding),QUALIFYING,Current misuse or dependence
724693000,Obsessive compulsive disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
724730008,Obsessive compulsive disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
762332000,Obsessive compulsive disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762516004,Obsessive compulsive disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
228405006,Obtains clean needles (finding),QUALIFYING,Current misuse or dependence
228407003,Obtains clean syringes (finding),QUALIFYING,Current misuse or dependence
105546006,Occasional drug abuser (finding),QUALIFYING,Current misuse or dependence
197541000000101,Occasional drug user (finding),QUALIFYING,Current misuse or dependence
428819003,Opiate misuse (finding),QUALIFYING,Current misuse or dependence
1047881000000106,Opioid analgesic dependence (disorder),QUALIFYING,Current misuse or dependence
75544000,Opioid dependence (disorder),QUALIFYING,Current misuse or dependence
724653003,Opioid dependence with current use (disorder),QUALIFYING,Current misuse or dependence
1081000119105,"Opioid dependence, on agonist therapy (disorder)",QUALIFYING,Current misuse or dependence
52866005,Opioid intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
87132004,Opioid withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
288851000119106,Opioid-induced mood disorder due to opioid abuse (disorder),QUALIFYING,Current misuse or dependence
288861000119108,Opioid-induced mood disorder due to opioid dependence (disorder),QUALIFYING,Current misuse or dependence
19445006,Opioid-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
231480002,Opium dependence (disorder),QUALIFYING,Current misuse or dependence
50026000,Organic anxiety disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
32552001,Organic delusional disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
28368009,Organic hallucinosis caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
83367009,Organic mental disorder caused by amphetamine and/or amfetamine derivative (disorder),QUALIFYING,Current misuse or dependence
312936002,Organic mental disorder caused by anxiolytic agent (disorder),QUALIFYING,Current misuse or dependence
310202009,Organic mental disorder caused by arylcyclohexylamine (disorder),QUALIFYING,Current misuse or dependence
77355000,Organic mental disorder caused by cannabis (disorder),QUALIFYING,Current misuse or dependence
46975003,Organic mental disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
53050002,Organic mental disorder caused by hallucinogen (disorder),QUALIFYING,Current misuse or dependence
313915006,Organic mental disorder caused by hypnotic agent (disorder),QUALIFYING,Current misuse or dependence
14784000,Organic mental disorder caused by opioid (disorder),QUALIFYING,Current misuse or dependence
21841000119100,Organic mental disorder caused by phencyclidine (disorder),QUALIFYING,Current misuse or dependence
11387009,Organic mental disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
1187205008,Organic mental disorder caused by sedative (disorder),QUALIFYING,Current misuse or dependence
37331004,Organic mood disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
46721000,Organic personality disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
296321004,Overdose of cocaine (disorder),QUALIFYING,Current misuse or dependence
296324007,Overdose of cocaine of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
296325008,Overdose of crack cocaine (disorder),QUALIFYING,Current misuse or dependence
296328005,Overdose of crack cocaine of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
296318001,Overdose of ecstasy (disorder),QUALIFYING,Current misuse or dependence
296320003,Overdose of ecstasy of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
708079007,Overdose of illicit drug (disorder),QUALIFYING,Current misuse or dependence
296305009,Overdose of lysergic acid (disorder),QUALIFYING,Current misuse or dependence
1149239002,Overdose of lysergic acid diethylamide (disorder),QUALIFYING,Current misuse or dependence
296308006,Overdose of lysergic acid of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
838519006,Overdose of methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
838522008,Overdose of methylenedioxymethamphetamine of undetermined intent (disorder),QUALIFYING,Current misuse or dependence
240961000000100,Patient admits to drug use (finding),QUALIFYING,Current misuse or dependence
707848009,Patient denies drug use (finding),QUALIFYING,Current misuse or dependence
724728006,Perceptual disturbances and seizures co-occurrent and due to psychoactive substance withdrawal (disorder),QUALIFYING,Current misuse or dependence
724726005,Perceptual disturbances co-occurrent and due to psychoactive substance withdrawal (disorder),QUALIFYING,Current misuse or dependence
58727001,Phencyclidine dependence (disorder),QUALIFYING,Current misuse or dependence
31715000,Phencyclidine intoxication delirium (disorder),QUALIFYING,Current misuse or dependence
33871004,Phencyclidine-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
311173003,Phencyclidine-related disorder (disorder),QUALIFYING,Current misuse or dependence
228372006,Poly-drug misuser (finding),QUALIFYING,Current misuse or dependence
51339003,Polysubstance dependence (disorder),QUALIFYING,Current misuse or dependence
228444003,Possession of drugs (finding),QUALIFYING,Current misuse or dependence
237228001,Pregnancy and drug dependence (disorder),QUALIFYING,Current misuse or dependence
1254991002,Pregnancy and substance dependence (disorder),QUALIFYING,Current misuse or dependence
416437003,Preoccupied with substance misuse (observable entity),QUALIFYING,Current misuse or dependence
416479009,Previously injecting drug user (finding),QUALIFYING,Current misuse or dependence
228415000,Priority of drug-related activities (observable entity),QUALIFYING,Current misuse or dependence
2403008,Psychoactive substance dependence (disorder),QUALIFYING,Current misuse or dependence
724724008,Psychoactive substance dependence with current use (disorder),QUALIFYING,Current misuse or dependence
11061003,Psychoactive substance use disorder (disorder),QUALIFYING,Current misuse or dependence
74934004,Psychoactive substance withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
724725009,Psychoactive substance withdrawal syndrome without complication (disorder),QUALIFYING,Current misuse or dependence
83168008,Psychoactive substance-induced organic amnestic disorder (disorder),QUALIFYING,Current misuse or dependence
111480006,Psychoactive substance-induced organic dementia (disorder),QUALIFYING,Current misuse or dependence
943121000000104,Psychoactive substance-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
288461000119105,Psychosis caused by inhalant (disorder),QUALIFYING,Current misuse or dependence
275471001,Psychostimulant dependence (disorder),QUALIFYING,Current misuse or dependence
1231336007,Psychostimulant dependence continuous (disorder),QUALIFYING,Current misuse or dependence
1231333004,Psychostimulant dependence episodic (disorder),QUALIFYING,Current misuse or dependence
428370001,Psychostimulant withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
7761000119106,Psychotic disorder caused by amphetamine (disorder),QUALIFYING,Current misuse or dependence
724675001,Psychotic disorder caused by anxiolytic (disorder),QUALIFYING,Current misuse or dependence
723936000,Psychotic disorder caused by cannabis (disorder),QUALIFYING,Current misuse or dependence
724689006,Psychotic disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
724718002,Psychotic disorder caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
724696008,Psychotic disorder caused by hallucinogen (disorder),QUALIFYING,Current misuse or dependence
724674002,Psychotic disorder caused by hypnotic (disorder),QUALIFYING,Current misuse or dependence
724719005,Psychotic disorder caused by ketamine (disorder),QUALIFYING,Current misuse or dependence
724706006,Psychotic disorder caused by methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
21831000119109,Psychotic disorder caused by phencyclidine (disorder),QUALIFYING,Current misuse or dependence
724729003,Psychotic disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
724673008,Psychotic disorder caused by sedative (disorder),QUALIFYING,Current misuse or dependence
762325009,Psychotic disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
737340007,Psychotic disorder caused by synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762507003,Psychotic disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
724702008,Psychotic disorder caused by volatile inhalant (disorder),QUALIFYING,Current misuse or dependence
20385005,Psychotic disorder with delusions caused by opioid (disorder),QUALIFYING,Current misuse or dependence
762327001,Psychotic disorder with delusions caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762509000,Psychotic disorder with delusions caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
762326005,Psychotic disorder with hallucinations caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762508008,Psychotic disorder with hallucinations caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
735750005,Psychotic disorder with schizophreniform symptoms caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
762510005,Psychotic disorder with schizophreniform symptoms caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
424848002,Recreational drug user (finding),QUALIFYING,Current misuse or dependence
416751004,Reduced drugs misuse (finding),QUALIFYING,Current misuse or dependence
228425005,Routine of drug-related activities (observable entity),QUALIFYING,Current misuse or dependence
427327003,Sedative dependence (disorder),QUALIFYING,Current misuse or dependence
724657002,Sedative dependence with current use (disorder),QUALIFYING,Current misuse or dependence
724727001,Seizure co-occurrent and due to psychoactive substance withdrawal (disorder),QUALIFYING,Current misuse or dependence
1254960008,Seizure co-occurrent and due to substance withdrawal (disorder),QUALIFYING,Current misuse or dependence
70932007,Sexual dysfunction caused by amfetamine (finding),QUALIFYING,Current misuse or dependence
71328000,Sexual dysfunction caused by opioid (finding),QUALIFYING,Current misuse or dependence
762333005,Sexual dysfunction caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
762517008,Sexual dysfunction caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
228397005,Shares drug equipment (finding),QUALIFYING,Current misuse or dependence
228395002,Shares drug injecting equipment (finding),QUALIFYING,Current misuse or dependence
228400001,Shares needles (finding),QUALIFYING,Current misuse or dependence
228399008,Shares syringes (finding),QUALIFYING,Current misuse or dependence
1264554000,Signs of opioid withdrawal on naloxone challenge test (finding),QUALIFYING,Current misuse or dependence
723937009,Sleep disorder caused by cannabis (disorder),QUALIFYING,Current misuse or dependence
762334004,Sleep disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
737342004,Sleep disorder caused by synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762518003,Sleep disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
228377000,Smokes drugs (finding),QUALIFYING,Current misuse or dependence
228378005,Smokes drugs in cigarette form (finding),QUALIFYING,Current misuse or dependence
228379002,Smokes drugs through a pipe (finding),QUALIFYING,Current misuse or dependence
228381000,Sniffs drugs (finding),QUALIFYING,Current misuse or dependence
428495004,Solvent misuse (finding),QUALIFYING,Current misuse or dependence
442406005,Stimulant dependence (disorder),QUALIFYING,Current misuse or dependence
1254812006,Substance dependence (disorder),QUALIFYING,Current misuse or dependence
1254985004,Substance dependence during pregnancy - baby delivered (disorder),QUALIFYING,Current misuse or dependence
1254986003,Substance dependence during pregnancy - baby not yet delivered (disorder),QUALIFYING,Current misuse or dependence
1254981008,"Substance dependence during pregnancy, childbirth and/or puerperium (disorder)",QUALIFYING,Current misuse or dependence
1254987007,Substance dependence in childbirth (disorder),QUALIFYING,Current misuse or dependence
1254975000,"Substance dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
1254974001,"Substance dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
737337007,Synthetic cannabinoid dependence (disorder),QUALIFYING,Current misuse or dependence
737335004,Synthetic cannabinoid intoxication (disorder),QUALIFYING,Current misuse or dependence
737338002,Synthetic cannabinoid withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
762505006,Synthetic cathinone dependence (disorder),QUALIFYING,Current misuse or dependence
762672001,Synthetic cathinone withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
228421001,Time devoted to drug-related activities (observable entity),QUALIFYING,Current misuse or dependence
228422008,Time spent obtaining drugs (observable entity),QUALIFYING,Current misuse or dependence
228424009,Time spent recovering from drugs (observable entity),QUALIFYING,Current misuse or dependence
228423003,Time spent taking drugs (observable entity),QUALIFYING,Current misuse or dependence
228412002,Total time drugs misused (observable entity),QUALIFYING,Current misuse or dependence
413329000,Treated for drug use in last 12 months (finding),QUALIFYING,Current misuse or dependence
770101000000107,Treatment outcomes profile score (observable entity),QUALIFYING,Current misuse or dependence
1142050005,Uncomplicated opioid withdrawal (disorder),QUALIFYING,Current misuse or dependence
228417008,Undue priority given to drug-related activities (finding),QUALIFYING,Current misuse or dependence
383901000000108,Uses drug paraphernalia (finding),QUALIFYING,Current misuse or dependence
228410005,Uses needle and syringe exchange scheme (finding),QUALIFYING,Current misuse or dependence
228406007,Uses needle exchange scheme (finding),QUALIFYING,Current misuse or dependence
279461000000104,Using heroin on top of substitution therapy (finding),QUALIFYING,Current misuse or dependence
5002000,Volatile inhalant dependence (disorder),QUALIFYING,Current misuse or dependence
724700000,Volatile inhalant dependence with current use (disorder),QUALIFYING,Current misuse or dependence
86391000119101,"Volatile inhalant dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
86401000119104,"Volatile inhalant dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
943151000000109,Volatile inhalant-induced psychosis (disorder),QUALIFYING,Current misuse or dependence
712542001,Abstinent from drug misuse (finding),RESOLVING,Abstinent
712543006,Abstinent from drug misuse in normal environment (finding),RESOLVING,Abstinent
712544000,Abstinent from drug misuse in protected environment (finding),RESOLVING,Abstinent
712545004,Abstinent from drug misuse on maintenance replacement (finding),RESOLVING,Abstinent
712546003,Abstinent from drug misuse when receiving blocking therapy (finding),RESOLVING,Abstinent
1364721000000101,Date stopped drug misuse (observable entity),RESOLVING,History observable
228411009,Time since stopped drug misuse (observable entity),RESOLVING,History observable
1231325000,Amfetamine and/or amfetamine derivative dependence in remission (disorder),RESOLVING,In remission
191845006,Amphetamine or psychostimulant dependence in remission (disorder),RESOLVING,In remission
1231159006,Anxiolytic dependence in remission (disorder),RESOLVING,In remission
191839003,Cannabis dependence in remission (disorder),RESOLVING,In remission
191833002,Cocaine dependence in remission (disorder),RESOLVING,In remission
191875001,"Combined drug dependence, excluding opioid, in remission (disorder)",RESOLVING,In remission
191869005,Combined opioid with non-opioid drug dependence in remission (disorder),RESOLVING,In remission
1255019005,Combined opioid with non-opioid substance dependence in remission (disorder),RESOLVING,In remission
1255020004,"Combined substance dependence, excluding opioid, in remission (disorder)",RESOLVING,In remission
1461000119109,Drug dependence in remission (disorder),RESOLVING,In remission
191857002,Glue sniffing dependence in remission (disorder),RESOLVING,In remission
191851001,Hallucinogen dependence in remission (disorder),RESOLVING,In remission
1230266009,Harmful pattern of use of amfetamine and/or amfetamine derivative in remission (disorder),RESOLVING,In remission
1231158003,Hypnotic dependence in remission (disorder),RESOLVING,In remission
191827006,Hypnotic or anxiolytic dependence in remission (disorder),RESOLVING,In remission
836439001,Nicotine dependence in remission (disorder),RESOLVING,In remission
414874007,Nondependent amphetamine or psychostimulant abuse in remission (disorder),RESOLVING,In remission
1230083007,Nondependent harmful pattern of use of amfetamine and/or amfetamine derivative in remission (disorder),RESOLVING,In remission
1230078004,Nondependent harmful pattern of use of anxiolytic in remission (disorder),RESOLVING,In remission
191920007,Nondependent harmful pattern of use of cocaine in remission (disorder),RESOLVING,In remission
1230079007,Nondependent harmful pattern of use of hypnotic in remission (disorder),RESOLVING,In remission
1230082002,Nondependent harmful pattern of use of psychostimulant in remission (disorder),RESOLVING,In remission
191907009,Nondependent hypnotic or anxiolytic abuse in remission (disorder),RESOLVING,In remission
191821007,Opioid dependence in remission (disorder),RESOLVING,In remission
425841004,Phencyclidine dependence in remission (disorder),RESOLVING,In remission
1231331002,Psychostimulant dependence in remission (disorder),RESOLVING,In remission
1254973007,Substance dependence in remission (disorder),RESOLVING,In remission
228392004,Does not inject drugs (situation),RESOLVING,Negation
228367002,Does not misuse drugs (situation),RESOLVING,Negation
228393009,Has never injected drugs (situation),RESOLVING,Negation
228368007,Has never misused drugs (situation),RESOLVING,Negation
