concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row,is_non_score_response
747871000000107,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 2 score,N,No,0,2014-07-01,2.0.26,24,false
747871000000107,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 2 score,Y,Yes,0,2014-07-01,2.0.26,25,false
747871000000107,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 2 score,N,No,0,2014-07-01,2.1.22,26,false
747871000000107,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 2 score,Y,Yes,0,2014-07-01,2.1.22,27,false
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,N,No,0,2014-07-01,2.0.26,26,false
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,NA,Not Applicable,0,2014-07-01,2.0.26,28,true
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,Y,Yes,0,2014-07-01,2.0.26,27,false
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,N,No,0,2014-07-01,2.1.22,28,false
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,NA,Not Applicable,0,2014-07-01,2.1.22,30,true
747881000000109,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) choice question 3 score,Y,Yes,0,2014-07-01,2.1.22,29,false
747891000000106,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) satisfaction question 1 score,0-4,,0,2014-07-01,2.0.26,32,false
747891000000106,IAPT Assessment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) assessment PEQ (Patient Experience Questionnaire) satisfaction question 1 score,0-4,,0,2014-07-01,2.1.22,34,false
747901000000107,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 1 score,0-4,,0,2014-07-01,2.0.26,16,false
747901000000107,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 1 score,0-4,,0,2014-07-01,2.1.22,17,false
747911000000109,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 2 score,0-4,,0,2014-07-01,2.0.26,17,false
747911000000109,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 2 score,0-4,,0,2014-07-01,2.1.22,18,false
747921000000103,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 3 score,0-4,,0,2014-07-01,2.0.26,18,false
747921000000103,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 3 score,0-4,,0,2014-07-01,2.1.22,19,false
747931000000101,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 4 score,0-4,,0,2014-07-01,2.0.26,19,false
747931000000101,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 4 score,0-4,,0,2014-07-01,2.1.22,20,false
747941000000105,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 5 score,0-4,,0,2014-07-01,2.0.26,20,false
747941000000105,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 5 score,0-4,,0,2014-07-01,2.1.22,21,false
747951000000108,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 6 score,0-4,,0,2014-07-01,2.0.26,21,false
747951000000108,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 6 score,0-4,,0,2014-07-01,2.1.22,22,false
747951000000108,IAPT Treatment Patient Experience Questionnaire,IAPT (Improving Access to Psychological Therapies) treatment PEQ (Patient Experience Questionnaire) question 6 score,NA,Not Applicable,0,2014-07-01,2.1.22,23,true
748161000000109,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 7 score,N,No,0,2020-09-01,2.0.26,34,false
748161000000109,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 7 score,Y,Yes,0,2020-09-01,2.0.26,33,false
748161000000109,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 7 score,N,No,0,2020-09-01,2.1.22,36,false
748161000000109,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 7 score,Y,Yes,0,2020-09-01,2.1.22,35,false
760741000000102,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 8 score,0-28,,0,2020-09-01,2.0.26,35,false
760741000000102,iMTA Productivity Cost Questionnaire (iPCQ),iPCQ (Institute for Medical Technology Assessment Productivity Cost Questionnaire) - question 8 score,0-28,,0,2020-09-01,2.1.22,37,false
