ccg,provider,z_financial_year
5K6,RFW,1516
5K6,RFW,1617
5K6,RJ1,1314
5K6,RJ1,1415
5K6,RJ1,1516
5K6,RJ1,1617
5K6,RJ7,1516
5K6,RJ7,1617
5K6,RJZ,1314
5K6,RJZ,1415
5K6,RJZ,1516
5K6,RJZ,1617
5K6,RKE,1314
5K6,RKE,1415
5K6,RKE,1516
5K6,RKE,1617
5K6,RNJ,1314
5K6,RNJ,1415
5K6,RNJ,1516
5K6,RNJ,1617
5K6,RP4,1314
5K6,RP4,1415
5K6,RP4,1516
5K6,RP4,1617
5K6,RP6,1314
5K6,RP6,1415
5K6,RP6,1516
5K6,RP6,1617
5K6,RPY,1314
5K6,RPY,1415
5K6,RPY,1516
5K6,RPY,1617
5K6,RQM,1314
5K6,RQM,1415
5K6,RQM,1516
5K6,RQM,1617
5K6,RQM,1718
5K6,RQX,1314
5K6,RRV,1314
5K6,RRV,1415
5K6,RRV,1516
5K6,RRV,1617
5K6,RT3,1314
5K6,RT3,1415
5K6,RT3,1516
5K6,RT3,1617
5K6,RV8,1314
5K6,RV8,1415
5K6,RVL,1314
5K6,RVL,1415
5K6,RVL,1516
5K6,RWG,1314
5K6,RWG,1415
5K6,RWG,1516
5K6,RWG,1617
5K6,RWH,1314
5K6,RWH,1415
5K6,RWH,1516
5K6,RWH,1617
5K6,RYJ,1314
5K6,RYJ,1415
5K6,RYJ,1516
5K6,RYJ,1617
5LA,NT4,1314
5LA,NT4,1415
5LA,NT4,1516
5LA,NT4,1617
5LA,NV1,1314
5LA,NV1,1415
5LA,NV1,1516
5LA,NV1,1617
5LA,QMH,1415
5LA,R1K,1516
5LA,R1K,1617
5LA,RAL,1314
5LA,RAL,1415
5LA,RAL,1516
5LA,RAL,1617
5LA,RAN,1314
5LA,RAN,1415
5LA,RAN,1516
5LA,RAN,1617
5LA,RAS,1314
5LA,RAS,1415
5LA,RAS,1516
5LA,RAS,1617
5LA,RAX,1314
5LA,RAX,1415
5LA,RAX,1516
5LA,RAX,1617
5LA,RC3,1314
5LA,RC3,1415
5LA,RFW,1314
5LA,RFW,1415
5LA,RFW,1516
5LA,RFW,1617
5LA,RJ1,1314
5LA,RJ1,1415
5LA,RJ1,1516
5LA,RJ1,1617
5LA,RJ7,1314
5LA,RJ7,1415
5LA,RJ7,1516
5LA,RJ7,1617
5LA,RJZ,1314
5LA,RJZ,1415
5LA,RJZ,1516
5LA,RJZ,1617
5LA,RKE,1314
5LA,RKE,1415
5LA,RKE,1516
5LA,RKE,1617
5LA,RNJ,1314
5LA,RNJ,1415
5LA,RNJ,1516
5LA,RNJ,1617
5LA,RP4,1314
5LA,RP4,1415
5LA,RP4,1516
5LA,RP4,1617
5LA,RP6,1314
5LA,RP6,1415
5LA,RP6,1516
5LA,RP6,1617
5LA,RPY,1314
5LA,RPY,1415
5LA,RPY,1516
5LA,RPY,1617
5LA,RQM,1314
5LA,RQM,1415
5LA,RQM,1516
5LA,RQM,1617
5LA,RQM,1718
5LA,RQX,1314
5LA,RQX,1415
5LA,RQX,1516
5LA,RQX,1617
5LA,RRV,1314
5LA,RRV,1415
5LA,RRV,1516
5LA,RRV,1617
5LA,RT3,1314
5LA,RT3,1415
5LA,RT3,1516
5LA,RT3,1617
5LA,RV8,1314
5LA,RV8,1415
5LA,RVL,1415
5LA,RVL,1516
5LA,RWH,1415
5LA,RYJ,1314
5LA,RYJ,1415
5LA,RYJ,1516
5LA,RYJ,1617
5LC,NT4,1314
5LC,NT4,1415
5LC,NT4,1516
5LC,NT4,1617
5LC,NV1,1314
5LC,NV1,1415
5LC,NV1,1516
5LC,NV1,1617
5LC,QMH,1415
5LC,R1K,1516
5LC,R1K,1617
5LC,RAL,1314
5LC,RAL,1415
5LC,RAL,1516
5LC,RAL,1617
5LC,RAN,1314
5LC,RAN,1415
5LC,RAN,1516
5LC,RAN,1617
5LC,RAS,1314
5LC,RAS,1415
5LC,RAS,1516
5LC,RAS,1617
5LC,RAX,1314
5LC,RAX,1415
5LC,RAX,1516
5LC,RAX,1617
5LC,RC3,1314
5LC,RC3,1415
5LC,RFW,1314
5LC,RFW,1415
5LC,RFW,1516
5LC,RFW,1617
5LC,RJ1,1314
5LC,RJ1,1415
5LC,RJ1,1516
5LC,RJ1,1617
5LC,RJ7,1314
5LC,RJ7,1415
5LC,RJ7,1516
5LC,RJ7,1617
5LC,RJZ,1314
5LC,RJZ,1415
5LC,RJZ,1516
5LC,RJZ,1617
5LC,RKE,1314
5LC,RKE,1415
5LC,RKE,1516
5LC,RKE,1617
5LC,RNJ,1314
5LC,RNJ,1415
5LC,RNJ,1516
5LC,RNJ,1617
5LC,RP4,1314
5LC,RP4,1415
5LC,RP4,1516
5LC,RP4,1617
5LC,RP6,1314
5LC,RP6,1415
5LC,RP6,1516
5LC,RP6,1617
5LC,RPY,1314
5LC,RPY,1415
5LC,RPY,1516
5LC,RPY,1617
5LC,RQM,1314
5LC,RQM,1415
5LC,RQM,1516
5LC,RQM,1617
5LC,RQM,1718
5LC,RQX,1314
5LC,RQX,1415
5LC,RQX,1516
5LC,RQX,1617
5LC,RRV,1314
5LC,RRV,1415
5LC,RRV,1516
5LC,RRV,1617
5LC,RT3,1314
5LC,RT3,1415
5LC,RT3,1516
5LC,RT3,1617
5LC,RV8,1314
5LC,RV8,1415
5LC,RVL,1415
5LC,RVL,1516
5LC,RWH,1314
5LC,RWH,1415
5LC,RWH,1516
5LC,RWH,1617
5LC,RYJ,1314
5LC,RYJ,1415
5LC,RYJ,1516
5LC,RYJ,1617
