snomed_code,description
93763008,Primary malignant neoplasm of common bile duct
93769007,Primary malignant neoplasm of cuboid
93770008,Primary malignant neoplasm of cystic duct
93772000,Primary malignant neoplasm of diaphragm
93773005,Primary malignant neoplasm of dorsal surface of tongue
93779009,Primary malignant neoplasm of endocervix
93782004,Primary malignant neoplasm of epicardium
93786001,Primary malignant neoplasm of ethmoid bone
93789008,Primary malignant neoplasm of exocervix
93798006,Primary malignant neoplasm of femur
93799003,Primary malignant neoplasm of fibula
93806005,Primary malignant neoplasm of frontal bone
93814004,Primary malignant neoplasm of glomus jugulare
93817006,Primary malignant neoplasm of great vessels
93827000,Primary malignant neoplasm of hilus of lung
93833009,Primary malignant neoplasm of ilium
93841009,Primary malignant neoplasm of intrathoracic organs
93842002,Primary malignant neoplasm of ischium
93862005,Primary malignant neoplasm of lateral wall of oropharynx
93870000,Malignant neoplasm of liver
93871001,Primary malignant neoplasm of long bone of lower limb
93882009,Primary malignant neoplasm of main bronchus
93884005,Primary malignant neoplasm of male breast
93886007,Primary malignant neoplasm of mandible
93888008,Primary malignant neoplasm of maxilla
93916003,Primary malignant neoplasm of nasal bone
93924008,Primary malignant neoplasm of nipple of female breast
93925009,Primary malignant neoplasm of nipple of male breast
93927001,Primary malignant neoplasm of occipital bone
93941005,Primary malignant neoplasm of paraganglion
93942003,Primary malignant neoplasm of parametrium
93945001,Primary malignant neoplasm of parietal bone
93947009,Primary malignant neoplasm of parietal peritoneum
93948004,Primary malignant neoplasm of parietal pleura
93950007,Primary malignant neoplasm of patella
93952004,Primary malignant neoplasm of pelvic peritoneum
93955002,Primary malignant neoplasm of periadrenal tissue
93956001,Primary malignant neoplasm of perianal skin
93957005,Primary malignant neoplasm of pericardium
93969002,Primary malignant neoplasm of posterior mediastinum
93973004,Primary malignant neoplasm of presacral region
93975006,Primary malignant neoplasm of pubis
93979000,Primary malignant neoplasm of radius
93986008,Primary malignant neoplasm of respiratory tract
93990005,Primary malignant neoplasm of rib
93995000,Primary malignant neoplasm of sacrococcygeal region
93997008,Primary malignant neoplasm of scapula
94008001,Primary malignant neoplasm of skin of ankle
94011000,Primary malignant neoplasm of skin of back
94012007,Primary malignant neoplasm of skin of breast
94013002,Primary malignant neoplasm of skin of buttock
94016005,Primary malignant neoplasm of skin of chin
94020009,Primary malignant neoplasm of skin of eyebrow
94023006,Primary malignant neoplasm of skin of finger
94024000,Primary malignant neoplasm of skin of foot
94026003,Primary malignant neoplasm of skin of forehead
94027007,Primary malignant neoplasm of skin of groin
94028002,Primary malignant neoplasm of skin of hand
94029005,Primary malignant neoplasm of skin of hip
94030000,Primary malignant neoplasm of skin of knee
94032008,Primary malignant neoplasm of skin of lip
94034009,Primary malignant neoplasm of skin of neck
94036006,Primary malignant neoplasm of skin of perineum
94039004,Primary malignant neoplasm of skin of shoulder
94041003,Primary malignant neoplasm of skin of thigh
94042005,Primary malignant neoplasm of skin of toe
94044006,Primary malignant neoplasm of skin of umbilicus
94066004,Primary malignant neoplasm of sphenoid bone
94073009,Primary malignant neoplasm of sternum
94083008,Primary malignant neoplasm of talus
94085001,Primary malignant neoplasm of temporal bone
94099002,Primary malignant neoplasm of tibia
94112009,Primary malignant neoplasm of ulna
94134006,Primary malignant neoplasm of ventral surface of tongue
94140004,Primary malignant neoplasm of visceral pleura
94142007,Primary malignant neoplasm of vomer
94145009,Primary malignant neoplasm of zygomatic bone
94161006,Metastatic malignant neoplasm to adrenal gland
94181007,Metastatic malignant neoplasm to axillary lymph nodes
94186002,Metastatic malignant neoplasm to bladder
94222008,Metastatic malignant neoplasm to bone
94225005,Metastatic malignant neoplasm to brain
94227002,Metastatic malignant neoplasm to bronchopulmonary lymph nodes
94248000,Metastatic malignant neoplasm to cerebrum
94260004,Metastatic malignant neoplasm to colon
94275007,Metastatic malignant neoplasm to duodenum
94297009,Metastatic malignant neoplasm to female breast
94313005,Metastatic malignant neoplasm to gastrointestinal tract
94335002,Metastatic malignant neoplasm to ileum
94336001,Metastatic malignant neoplasm to iliac lymph nodes
94338000,Metastatic malignant neoplasm to infraclavicular lymph nodes
94344001,Metastatic malignant neoplasm to intercostal lymph nodes
94347008,Metastatic malignant neoplasm to intra-abdominal lymph nodes
94350006,Metastatic malignant neoplasm to intrapelvic lymph nodes
94351005,Metastatic malignant neoplasm to intrathoracic lymph nodes
94357009,Metastatic malignant neoplasm to jejunum
94360002,Metastatic malignant neoplasm to kidney
94365007,Metastatic malignant neoplasm to large intestine
94381002,Metastatic malignant neoplasm to liver
94391008,Metastatic malignant neoplasm to lung
94392001,Metastatic malignant neoplasm to lymph node
94393006,Metastatic malignant neoplasm to lymph nodes of face
94394000,Metastatic malignant neoplasm to lymph nodes of head
94395004,Metastatic malignant neoplasm to lymph nodes of lower limb
94398002,Metastatic malignant neoplasm to lymph nodes of upper limb
94408005,Metastatic malignant neoplasm to mediastinal lymph nodes
94409002,Metastatic malignant neoplasm to mediastinum
94410007,Metastatic malignant neoplasm to mesenteric lymph nodes
94442001,Metastatic malignant neoplasm to nervous system
94446003,Metastatic malignant neoplasm to obturator lymph nodes
94449005,Metastatic malignant neoplasm to occipital lymph nodes
94455000,Metastatic malignant neoplasm to ovary
94475009,Metastatic malignant neoplasm to parotid lymph nodes
94477001,Metastatic malignant neoplasm to pectoral axillary lymph nodes
94481001,Metastatic malignant neoplasm to penis
94493005,Metastatic malignant neoplasm to pleura
94494004,Metastatic malignant neoplasm to popliteal lymph nodes
94503003,Metastatic malignant neoplasm to prostate
94513006,Metastatic malignant neoplasm to rectum
94515004,Metastatic malignant neoplasm to respiratory tract
94544002,Metastatic malignant neoplasm to skin of breast
94554003,Metastatic malignant neoplasm to skin of face
94566009,Metastatic malignant neoplasm to skin of neck
94575006,Metastatic malignant neoplasm to skin of trunk
94579000,Metastatic malignant neoplasm to skin
94580002,Metastatic malignant neoplasm to small intestine
94600009,Metastatic malignant neoplasm to spinal cord
94609005,Metastatic malignant neoplasm to submandibular lymph nodes
94611001,Metastatic malignant neoplasm to submental lymph nodes
94612008,Metastatic malignant neoplasm to superficial inguinal lymph nodes
94623007,Metastatic malignant neoplasm to testis
94627008,Metastatic malignant neoplasm to peritoneum
94628003,Metastatic malignant neoplasm to retroperitoneum
94638008,Metastatic malignant neoplasm to tongue
94642006,Metastatic malignant neoplasm to tracheobronchial lymph nodes
94659001,Metastatic malignant neoplasm to ureter
94661005,Metastatic malignant neoplasm to urethra
94663008,Metastatic malignant neoplasm to urinary system
94665001,Metastatic malignant neoplasm to uterus
94668004,Metastatic malignant neoplasm to vagina
94681006,Metastatic malignant neoplasm to vulva
94707004,Mycosis fungoides of intra-abdominal lymph nodes
94708009,Mycosis fungoides of intrapelvic lymph nodes
94709001,Mycosis fungoides of intrathoracic lymph nodes
94710006,Mycosis fungoides of lymph nodes of axilla AND/OR upper limb
94711005,"Mycosis fungoides of lymph nodes of head, face AND/OR neck"
94712003,Mycosis fungoides of lymph nodes of inguinal region AND/OR lower limb
94714002,Mycosis fungoides of spleen
94719007,Myeloid sarcoma
94730005,Neoplasm of uncertain behaviour of adrenal gland
94733007,Neoplasm of uncertain behaviour of ampulla of Vater
94742000,Neoplasm of uncertain behaviour of aortic body
94744004,Neoplasm of uncertain behaviour of appendix
94754000,Neoplasm of uncertain behaviour of bladder
94765005,Neoplasm of uncertain behaviour of bone
94767002,Neoplasm of uncertain behaviour of brain
94774007,Neoplasm of uncertain behaviour of bronchus
94779002,Neoplasm of uncertain behaviour of carotid body
94787001,Neoplasm of uncertain behaviour of cerebral meninges
94793009,Neoplasm of uncertain behaviour of cheek
94799008,Neoplasm of uncertain behaviour of coccygeal body
94801006,Neoplasm of uncertain behaviour of colon
94803009,Neoplasm of uncertain behaviour of common bile duct
94807005,Neoplasm of uncertain behaviour of cranial nerve
94808000,Neoplasm of uncertain behaviour of craniopharyngeal duct
94810003,Neoplasm of uncertain behaviour of cystic duct
94815008,Neoplasm of uncertain behaviour of duodenum
94823005,Neoplasm of uncertain behaviour of epididymis
94824004,Neoplasm of uncertain behaviour of epiglottis
94825003,Neoplasm of uncertain behaviour of oesophagus
94827006,Neoplasm of uncertain behaviour of ethmoidal sinus
94828001,Neoplasm of uncertain behaviour of eustachian tube
94831000,Neoplasm of uncertain behaviour of eye
94835009,Neoplasm of uncertain behaviour of false vocal cord
94842009,Neoplasm of uncertain behaviour of floor of mouth
94848008,Neoplasm of uncertain behaviour of frontal sinus
94850000,Neoplasm of uncertain behaviour of gallbladder
94851001,Neoplasm of uncertain behaviour of gastrointestinal tract
94854009,Neoplasm of uncertain behaviour of glomus jugulare
94865004,Neoplasm of uncertain behaviour of heart
94871005,Neoplasm of uncertain behaviour of hypopharynx
94872003,Neoplasm of uncertain behaviour of ileum
94880005,Neoplasm of uncertain behaviour of intrahepatic bile ducts
94886004,Neoplasm of uncertain behaviour of jejunum
94889006,Neoplasm of uncertain behaviour of kidney
94899001,Neoplasm of uncertain behaviour of larynx
94909007,Neoplasm of uncertain behaviour of lip
94910002,Neoplasm of uncertain behaviour of liver
94920007,Neoplasm of uncertain behaviour of lung
94929008,Neoplasm of uncertain behaviour of maxillary sinus
94931004,Neoplasm of uncertain behaviour of mediastinum
94936009,Neoplasm of uncertain behaviour of minor salivary gland
94957001,Neoplasm of uncertain behaviour of nasal cavity
94959003,Neoplasm of uncertain behaviour of nasopharynx
94973007,Neoplasm of uncertain behaviour of oropharynx
94974001,Neoplasm of uncertain behaviour of ovary
94975000,Neoplasm of uncertain behaviour of palate
94978003,Neoplasm of uncertain behaviour of pancreas
94983006,Neoplasm of uncertain behaviour of parathyroid gland
94989005,Neoplasm of uncertain behaviour of parotid gland
94994005,Neoplasm of uncertain behaviour of penis
95002008,Neoplasm of uncertain behaviour of pineal gland
95004009,Neoplasm of uncertain behaviour of pituitary gland
95005005,Neoplasm of uncertain behaviour of placenta
95006006,Neoplasm of uncertain behaviour of pleura
95014000,Neoplasm of uncertain behaviour of prostate
95024008,Neoplasm of uncertain behaviour of rectum
95025009,Neoplasm of uncertain behaviour of renal pelvis
95026005,Neoplasm of uncertain behaviour of respiratory tract
95039009,Neoplasm of uncertain behaviour of scrotum
95087004,Neoplasm of uncertain behaviour of skin
95107000,Neoplasm of uncertain behaviour of sphenoidal sinus
95108005,Neoplasm of uncertain behaviour of spinal cord
95109002,Neoplasm of uncertain behaviour of spinal meninges
95111006,Neoplasm of uncertain behaviour of spleen
95116001,Neoplasm of uncertain behaviour of sublingual gland
95127004,Neoplasm of uncertain behaviour of testis
95132003,Neoplasm of uncertain behaviour of retroperitoneum
95136000,Neoplasm of uncertain behaviour of thymus
95138004,Neoplasm of uncertain behaviour of thyroid gland
95141008,Neoplasm of uncertain behaviour of tongue
95144000,Neoplasm of uncertain behaviour of trachea
95161002,Neoplasm of uncertain behaviour of ureter
95163004,Neoplasm of uncertain behaviour of urethra
95167003,Neoplasm of uncertain behaviour of uterus
95170004,Neoplasm of uncertain behaviour of vagina
95181001,Neoplasm of uncertain behaviour of vocal cord
95183003,Neoplasm of uncertain behaviour of vulva
95186006,Nodular lymphoma of intra-abdominal lymph nodes
95187002,Nodular lymphoma of intrapelvic lymph nodes
95188007,Nodular lymphoma of intrathoracic lymph nodes
95192000,Nodular lymphoma of lymph nodes of multiple sites
95193005,Nodular lymphoma of spleen
95208000,Photogenic epilepsy
95210003,Plasma cell leukaemia
95214007,Primary malignant neoplasm of liver
95224004,Reticulosarcoma of intra-abdominal lymph nodes
95225003,Reticulosarcoma of intrapelvic lymph nodes
95226002,Reticulosarcoma of intrathoracic lymph nodes
95230004,Reticulosarcoma of lymph nodes of multiple sites
95231000,Reticulosarcoma of spleen
95263006,Sézary's disease of spleen
95293000,Supernumerary cervical vertebra
95298009,Supernumerary lumbar vertebra
95302001,Supernumerary thoracic vertebra
95304000,Thoracic hemivertebra
95412009,Pigmented villonodular synovitis
95434006,Tracheomalacia
95435007,Tracheo-oesophageal fistula
95441000,Pulmonary artery stenosis
95455008,Thrombosis of cerebral veins
95457000,Brain stem infarction
95460007,Cerebellar infarction
95466001,Congenital perforation of nasal septum
95468000,Congenital bronchomalacia
95565000,Pseudoporphyria
95576001,Dilatation of ureter
95609003,Neonatal lupus erythematosus
95644001,Systemic lupus erythematosus encephalitis
102449007,Tardive dyskinesia
103021001,Premature adrenarche
103075007,Humoural immune defect
105501005,Dependence on enabling machine or device
105503008,Dependence on wheelchair
105986008,Skeletal dysplasia
108369006,Neoplasm
109264009,Overlapping malignant neoplasm of skin
109266006,Melanoma in situ of skin (clinical)
109267002,Overlapping malignant melanoma of skin
109270003,Melanoma in situ of face
109272006,Melanoma in situ of lip
109274007,"Melanoma in situ of eyelid, including canthus"
109276009,Melanoma in situ of scalp
109278005,Melanoma in situ of ear
109284008,Melanoma in situ of trunk
109290007,Melanoma in situ of upper limb
109294003,Melanoma in situ of lower limb
109347009,Overlapping malignant neoplasm of bone and articular cartilage
109348004,Overlapping malignant neoplasm of bone and articular cartilage of limb
109355002,Carcinoma in situ
109359008,Primary malignant neoplasm of independent multiple sites
109365008,Overlapping malignant neoplasm of respiratory and intrathoracic organs
109367000,Overlapping malignant neoplasm of nasopharynx
109368005,Overlapping malignant neoplasm of hypopharynx
109369002,Overlapping malignant neoplasm of larynx
109371002,Overlapping malignant neoplasm of bronchus and lung
109378008,"Mesothelioma (malignant, clinical disorder)"
109383000,Malignant mesothelioma of pericardium
109384006,"Overlapping malignant neoplasm of heart, mediastinum and pleura"
109385007,Kaposi's sarcoma (clinical)
109386008,Kaposi's sarcoma of skin
109388009,Kaposi's sarcoma of palate
109391009,Kaposi's sarcoma of lymph nodes
109392002,Kaposi's sarcoma of multiple organs
109559009,Riedel's lobe of liver
109823006,Overlapping malignant neoplasm of tongue
109824000,Overlapping malignant neoplasm of major salivary gland
109830000,Overlapping malignant neoplasm of floor of mouth
109835005,Overlapping malignant neoplasm of oesophagus
109836006,Overlapping malignant neoplasm of stomach
109837002,Overlapping malignant neoplasm of small intestine
109838007,Overlapping malignant neoplasm of colon
109841003,Liver cell carcinoma
109843000,Hepatoblastoma
109844006,Angiosarcoma of liver
109847004,Overlapping malignant neoplasm of biliary tract
109848009,Overlapping malignant neoplasm of pancreas
109850001,Carcinoma in situ of digestive organ
109851002,Overlapping malignant neoplasm of retroperitoneum and peritoneum
109853004,Mesothelioma of peritoneum
109874003,Overlapping malignant neoplasm of male genital organs
109875002,Overlapping malignant neoplasm of penis
109876001,Primary malignant neoplasm of descended testis
109878000,Overlapping malignant neoplasm of female genital organs
109885001,Overlapping malignant neoplasm of vulva
109888004,Lobular carcinoma in situ of breast
109889007,Ductal carcinoma in situ of breast
109911004,Overlapping malignant neoplasm of brain and other parts of the central nervous system
109912006,Overlapping malignant neoplasm of brain
109914007,Neoplasm of uncertain behaviour of meninges
109917000,Neoplasm of uncertain behaviour of peripheral nerves and peripheral autonomic nervous system
109919002,Overlapping malignant neoplasm of peripheral nerves and autonomic nervous system
109948008,Overlapping malignant neoplasm of eye and adnexa (primary)
109962001,Diffuse non-Hodgkin's lymphoma
109964000,"Diffuse non-Hodgkin's lymphoma, undifferentiated"
109965004,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)"
109966003,"Diffuse non-Hodgkin's lymphoma, immunoblastic (clinical)"
109969005,"Diffuse non-Hodgkin's lymphoma, large cell (clinical)"
109972003,"Follicular non-Hodgkin's lymphoma, large cell (clinical)"
109975001,T-zone lymphoma (clinical)
109976000,Lymphoepithelioid lymphoma (clinical)
109977009,Peripheral T-cell lymphoma (clinical)
109978004,T-cell lymphoma (clinical)
109982002,Alpha heavy chain disease (clinical)
109983007,Monoclonal gammopathy (clinical)
109984001,Gamma heavy chain disease (clinical)
109985000,Immunoproliferative small intestinal disease (clinical)
109988003,Histiocytic sarcoma (clinical)
109989006,Multiple myeloma
109991003,Acute panmyelosis with myelofibrosis
109992005,Polycythaemia vera (clinical)
109994006,Essential thrombocythaemia
109995007,Myelodysplastic syndrome (clinical)
109996008,Refractory anaemia (clinical)
109998009,Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia
110000005,Refractory anaemia with excess blasts in transformation (clinical)
110002002,Mast cell leukaemia (clinical)
110004001,"Acute promyelocytic leukaemia, FAB M3"
110005000,"Acute myelomonocytic leukaemia, FAB M4"
110006004,Prolymphocytic leukaemia (clinical)
110007008,Adult T-cell leukaemia/lymphoma
110013004,Overlapping malignant neoplasm of tonsil
110456001,"Hepatocholangioma, benign"
110457005,Angiomyoliposarcoma
110460003,"Plasma cell tumour, benign"
111288001,Ventricular flutter
111298007,Chronic cerebral ischaemia
111317000,Congenital absence of nose
111318005,Congenital cystic adenomatoid malformation of lung
111321007,Right aortic arch
111322000,Congenital anomaly of pulmonary veins
111323005,Total anomalous pulmonary venous return
111338006,Agenesis of nerve
111354009,Chronic vascular insufficiency of intestine
111382002,Chemically-induced lipidosis
111393000,Acatalasia
111396008,Chédiak-Higashi syndrome
111397004,Saccharopinuria
111496009,Syringomyelia
111501005,Congenital hereditary muscular dystrophy
111508004,Emery-Dreifuss muscular dystrophy
111563005,Adrenal hypofunction
111565003,Medulloadrenal hyperfunction
111568001,Hypothalamic syndrome
112676006,"Transitional cell carcinoma, spindle cell"
112677002,Bronchiolo-alveolar adenocarcinoma
112679004,Pseudomyxoma peritonei
112682009,Fibroma
112683004,Pleomorphic liposarcoma
112685006,"Carcinosarcoma, embryonal"
112687003,"Hodgkin lymphoma, lymphocyte depletion"
115215004,Adenoma AND/OR adenocarcinoma
115216003,Adnexal AND/OR skin appendage neoplasm
115217007,"Cystic, mucinous AND/OR serous neoplasm"
115218002,"Ductal, lobular AND/OR medullary neoplasm"
115219005,Acinar cell neoplasm
115220004,Complex epithelial neoplasm
115221000,Specialised gonadal neoplasm
115222007,Paraganglioma AND/OR glomus tumour
115224008,Soft tissue tumour AND/OR sarcoma
115225009,Fibromatous neoplasm
115226005,Myxomatous neoplasm
115227001,Lipomatous neoplasm
115228006,Myomatous neoplasm
115229003,Complex mixed AND/OR stromal neoplasm
115230008,Fibroepithelial neoplasm
115231007,Synovial like neoplasm
115232000,Mesothelial neoplasm
115233005,Germ cell neoplasm
115234004,Trophoblastic neoplasm
115236002,Lymphatic vessel tumour
115237006,Osseous AND/OR chondromatous neoplasm
115238001,Giant cell tumour
115239009,Bone tumour
115240006,Glioma
115241005,Neuroepitheliomatous neoplasm
115242003,Nerve sheath tumour
115243008,Granular cell tumour AND/OR alveolar soft part sarcoma
115244002,Malignant lymphoma - category
115245001,"Malignant lymphoma, follicular AND/OR nodular"
116020001,Disorder of branched-chain amino acid metabolism
118285006,Epithelial neoplasm
118286007,Squamous cell neoplasm
118287003,Transitional cell neoplasm
118599009,Hodgkin's disease (clinical)
118600007,Malignant lymphoma
118601006,Non-Hodgkin's lymphoma (clinical)
118602004,Hodgkin's granuloma (clinical)
118605002,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
118606001,Hodgkin's sarcoma (clinical)
118607005,Lymphocyte-rich classical Hodgkin lymphoma
118608000,"Hodgkin's disease, nodular sclerosis (clinical)"
118609008,"Hodgkin's disease, mixed cellularity (clinical)"
118610003,"Hodgkin's disease, lymphocytic depletion (clinical)"
118611004,Sezary's disease
118612006,Malignant histiocytosis (clinical)
118613001,Hairy cell leukaemia (clinical)
118614007,"Langerhans cell histiocytosis, disseminated (clinical)"
118615008,Malignant mast cell tumour (clinical)
118616009,Neoplastic disease of uncertain behaviour
118617000,Burkitt's lymphoma (clinical)
118618005,Mycosis fungoides (clinical)
118940003,Disorder of nervous system
119249001,Agammaglobulinaemia
119250001,Hypogammaglobulinaemia
122467006,Fitting procedure
123151001,Dermoid cyst
123572006,Congenital anomaly of rib
123844007,Neoplasm of endometrium
123967008,Tyrosinuria
124214007,Deficiency of steroid 11-beta-monooxygenase
124220008,Deficiency of steroid 17-alpha-monooxygenase
124221007,Deficiency of steroid 21-monooxygenase
124275001,Deficiency of hypoxanthine phosphoribosyltransferase
124302001,Deficiency of galactokinase
124322002,Deficiency of glycerol kinase
124437004,Deficiency of glucose-6-phosphatase
124628005,Deficiency of histidine ammonia-lyase
126488004,Neoplasm of skin
126490003,Neoplasm of sweat gland
126667002,Neoplasm of respiratory tract
126729006,Thrombotic microangiopathy
126824007,Neoplasm of stomach
126837005,Neoplasm of large intestine
126853008,Neoplasm of biliary tract
126859007,Neoplasm of pancreas
126879004,Neoplasm of urinary system
126880001,Neoplasm of kidney
126885006,Neoplasm of bladder
126926005,Neoplasm of breast
126945001,Perinatal anoxic-ischaemic brain injury
126952004,Neoplasm of brain
127021009,Neoplasm of adrenal gland
127022002,Neoplasm of adrenal cortex
127024001,Neoplasm of pituitary gland
127029006,Neoplasm of aortic body
127040003,Sickle cell-haemoglobin SS disease
127041004,Sickle cell-beta-thalassaemia
127068004,Histiocytic syndrome
127225006,Chronic myelomonocytic leukaemia
127324008,Myoclonic disorder
127570002,Basal cell neoplasm (morphology)
127571003,Mucoepidermoid neoplasm (morphology)
127578009,Odontogenic neoplasm (morphology)
127579001,Meningeal neoplasm (morphology)
127580003,Plasma cell neoplasm (morphology)
127581004,Mastocytosis
128188000,Cerebral palsy
128213006,Neuromuscular junction disorder
128241005,Inflammatory disease of liver
128462008,Metastatic malignant neoplasm
128467002,Neoplasm of uncertain behaviour of articular cartilage
128496001,Inflammatory disorder of muscle
128596003,Medium-chain acyl-coenzyme A dehydrogenase deficiency
128608001,Cerebral arterial aneurysm
128622001,Histiocytic neoplasm (morphology)
128623006,Myelodysplastic neoplasm
128632008,Non-small cell carcinoma
128636006,"Basal cell carcinoma, nodular"
128665000,Pituitary carcinoma
128694007,Serous surface papillary tumour of borderline malignancy
128726006,"Endometrial stromal sarcoma, low grade"
128736003,Solitary fibrous tumour
128767001,"Trophoblastic tumour, epithelioid"
128799007,"Hodgkin lymphoma, lymphocyte-rich"
128803008,Marginal zone B-cell lymphoma
128805001,"NK/T-cell lymphoma, nasal and nasal-type"
128812005,"Langerhans cell histiocytosis, disseminated"
128813000,Histiocytic sarcoma
128822004,Precursor cell lymphoblastic leukaemia
128825002,"Chronic myelogenous leukaemia, BCR/ABL positive"
128826001,Myelodysplastic and myeloproliferative neoplasm with neutrophilia
128831004,Chronic myelomonocytic leukaemia
128832006,Juvenile myelomonocytic leukaemia
128835008,Hypereosinophilic syndrome
128839002,Papillary ependymoma
128841001,Polycythaemia vera
128842008,Chronic myeloproliferative disease
128843003,Primary myelofibrosis
128844009,Essential thrombocythaemia
128846006,Myelodysplastic syndrome with ring sideroblasts and single lineage dysplasia
128847002,Myelodysplastic syndrome with increased blasts
128848007,Refractory anaemia with excess blasts in transformation
128849004,"Serous cystadenoma, borderline malignancy"
128850004,"Papillary cystadenoma, borderline malignancy"
128851000,Serous papillary cystic tumour of borderline malignancy
128852007,Mucinous cystic tumour of borderline malignancy
128853002,"Papillary mucinous cystadenoma, borderline malignancy"
128854008,Pilocytic astrocytoma
128855009,Glucagonoma of uncertain behaviour
128856005,Thymoma
128858006,Central neurocytoma
128859003,Villous adenoma
128860008,Juxtaglomerular tumour
128861007,Desmoplastic fibroma
128875000,Primary cutaneous CD30+ large T-cell lymphoma
128916007,Medullary carcinoma with amyloid stroma
128918008,Parosteal osteosarcoma
128920006,Malignant histiocytosis
128922003,Plasma cell leukaemia
128923008,Prolymphocytic leukaemia
128924002,Mast cell leukaemia
128928004,Neuroendocrine neoplasm
128929007,Non-Hodgkin lymphoma (category)
128931003,Leukaemia (category)
128933000,Chronic leukaemia (category)
128934006,Myeloid leukaemia (category)
128935007,Lymphoid leukaemia (category)
129000002,Eosinophilic granuloma
129575004,Cardiac pacemaker twiddler syndrome
134152008,Basal cell carcinoma - morphoeic
134328007,Lipoma
134401001,Left ventricular systolic dysfunction
134421000,Pathologic fracture of bone at site of metastatic neoplasm
155441006,Polyarteritis nodosa
161663000,H/O: tissue/organ recipient
161665007,History of renal transplant
161666008,H/O: heart recipient
161669001,H/O: bone tissue recipient
161672008,H/O: lung recipient
161677002,H/O: artificial heart valve
161696003,H/O: arthrodesis
169477005,Intrauterine contraceptive device fitted
171131006,Meningocele
173984004,Attention to ileostomy
186698009,Cytomegalovirus hepatitis
187197006,Toxoplasma hepatitis
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes
187601000,"Malignant neoplasm of upper lip, lipstick area"
187604008,"Malignant neoplasm of lower lip, external"
187606005,Malignant tumour of upper labial mucosa
187608006,Malignant tumour of fraenum of upper lip
187613005,"Malignant neoplasm of lower lip, buccal aspect"
187614004,Malignant tumour of fraenum of lower lip
187622006,Malignant tumour of labial mucosa
187624007,Malignant neoplasm of overlapping lesion of lip
187631006,Malignant neoplasm of base of tongue dorsal surface
187633009,Malignant neoplasm of dorsal surface of tongue
187634003,Malignant tumour of anterior two-thirds of tongue - dorsal surface
187635002,Malignant neoplasm of midline of tongue
187637005,"Malignant neoplasm of tongue, tip and lateral border"
187640005,Malignant tumour of anterior two-thirds of tongue - ventral surface
187641009,Malignant tumour of fraenum linguae
187644001,Malignant tumour of junctional zone of tongue
187652003,Malignant tumour of anterior floor of mouth
187653008,Malignant tumour of lateral floor of mouth
187658004,Malignant tumour of vestibule of mouth
187659007,Malignant tumour of upper buccal sulcus
187660002,Malignant tumour of lower buccal sulcus
187661003,Malignant tumour of upper labial sulcus
187662005,Malignant tumour of lower labial sulcus
187666008,Malignant neoplasm of junction of hard and soft palate
187675005,Malignant tumour of tonsillar pillar
187681002,Malignant neoplasm of anterior epiglottis
187682009,"Malignant neoplasm of epiglottis, free border"
187683004,Malignant neoplasm of glossoepiglottic fold
187685006,Malignant neoplasm of junctional region of epiglottis
187688008,Malignant tumour of posterior wall of oropharynx
187692001,Malignant tumour of nasopharynx
187693006,Malignant tumour of posterior wall of nasopharynx
187694000,Malignant tumour of adenoid
187697007,Malignant tumour of pharyngeal recess
187698002,Malignant tumour of opening of auditory tube
187700006,Malignant tumour of anterior wall of nasopharynx
187701005,Malignant neoplasm of floor of nasopharynx
187702003,Malignant tumour of nasopharyngeal soft palate surface
187708004,Malignant tumour aryepiglottic fold - hypopharyngeal aspect
187709007,Malignant neoplasm of posterior pharynx
187716008,Malignant tumour of Waldeyer's ring
187722004,Malignant tumour of cervical part of oesophagus
187723009,Malignant tumour of thoracic part of oesophagus
187724003,Malignant tumour of abdominal part of oesophagus
187725002,Malignant tumour of upper third of oesophagus
187726001,Malignant tumour of middle third of oesophagus
187727005,Malignant tumour of lower third of oesophagus
187732006,Malignant tumour of cardia
187733001,Malignant neoplasm of cardiac orifice of stomach
187734007,Malignant neoplasm of cardio-oesophageal junction of stomach
187736009,Malignant tumour of pylorus
187738005,Malignant neoplasm of pyloric canal of stomach
187740000,Malignant tumour of pyloric antrum
187741001,Malignant tumour of fundus of stomach
187742008,Malignant tumour of body of stomach
187752007,Malignant tumour of Meckel's diverticulum
187757001,"Malignant neoplasm, overlapping lesion of colon"
187760008,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
187767006,Malignant neoplasm of liver and intrahepatic bile ducts
187769009,Primary carcinoma of liver
187773007,Malignant neoplasm of interlobular bile ducts
187776004,Malignant neoplasm of intrahepatic canaliculi
187777008,Malignant neoplasm of intrahepatic gall duct
187784000,Malignant neoplasm of hepatic duct
187786003,Malignant neoplasm of sphincter of Oddi
187791002,Malignant tumour of body of pancreas
187792009,Malignant tumour of tail of pancreas
187793004,Malignant tumour of pancreatic duct
187794005,Malignant tumour of Islets of Langerhans
187798008,Malignant neoplasm of ectopic pancreatic tissue
187801002,Malignant tumour of peritoneum and retroperitoneum
187803004,Malignant neoplasm of perinephric tissue
187804005,Malignant neoplasm of retrocaecal tissue
187807003,Overlapping malignant lesion of retroperitoneum and peritoneum
